时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 21:49:20:370	WTLEFT(C3:11:EA:D7:53:77)	-0.007	-0.651	0.779	0.549	-0.183		-40.5	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:370	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.65	0.775	0.549	-0.122		-40.5	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:371	WTLEFT(C3:11:EA:D7:53:77)	-0.007	-0.653	0.777	0.183	-0.183		-40.5	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:385	WTRIGHT(D0:74:13:DA:DA:8C)	-0.657	0.702	0.212	0.061	-0.061	1.16	-18.79	44.96	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:386	WTRIGHT(D0:74:13:DA:DA:8C)	-0.651	0.703	0.209	0.061	-0.244	0.854	-18.79	44.95	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:386	WTRIGHT(D0:74:13:DA:DA:8C)	-0.649	0.702	0.213	0.061		0.854	-18.79	44.95	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:387	WTRIGHT(D0:74:13:DA:DA:8C)	-0.651	0.706	0.213	0.183	-0.244	0.366	-18.79	44.95	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:387	WTRIGHT(D0:74:13:DA:DA:8C)	-0.647	0.705	0.217	0.061	-0.061	0.488	-18.79	44.94	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:387	WTRIGHT(D0:74:13:DA:DA:8C)	-0.646	0.708	0.221			0.183	-18.79	44.94	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:387	WTRIGHT(D0:74:13:DA:DA:8C)	-0.657	0.701	0.226	-0.061			-18.79	44.94	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:388	WTRIGHT(D0:74:13:DA:DA:8C)	-0.662	0.706	0.227	-0.122	0.305	-0.305	-18.79	44.94	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:430	WTLEFT(C3:11:EA:D7:53:77)	-0.007	-0.654	0.775	0.183	-0.061		-40.5	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:430	WTLEFT(C3:11:EA:D7:53:77)	-0.017	-0.649	0.747	0.183	0.244		-40.5	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:430	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.637	0.763				-40.5	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:430	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.651	0.806	-0.305	0.061		-40.5	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:430	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.65	0.792	-0.488	0.183		-40.5	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:431	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.653	0.756	-0.549	0.305		-40.5	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:431	WTLEFT(C3:11:EA:D7:53:77)	-0.006	-0.653	0.77	-0.793	0.366		-40.5	1.42	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:431	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.65	0.772	-0.61	0.549		-40.51	1.42	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:444	WTRIGHT(D0:74:13:DA:DA:8C)	-0.646	0.703	0.224	-0.183		-0.671	-18.79	44.94	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:444	WTRIGHT(D0:74:13:DA:DA:8C)	-0.641	0.699	0.224	0.183	0.061	-0.854	-18.79	44.95	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:444	WTRIGHT(D0:74:13:DA:DA:8C)	-0.653	0.71	0.213	0.488	-0.244	-1.099	-18.79	44.95	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:444	WTRIGHT(D0:74:13:DA:DA:8C)	-0.663	0.701	0.227		0.183	-1.282	-18.79	44.95	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:445	WTRIGHT(D0:74:13:DA:DA:8C)	-0.674	0.703	0.209	-1.038	0.61	-1.282	-18.79	44.96	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:445	WTRIGHT(D0:74:13:DA:DA:8C)	-0.671	0.69	0.219	-0.427	0.549	-1.343	-18.79	44.96	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:445	WTRIGHT(D0:74:13:DA:DA:8C)	-0.667	0.704	0.201	-0.061	-0.183	-1.404	-18.79	44.97	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:445	WTRIGHT(D0:74:13:DA:DA:8C)	-0.672	0.696	0.22	0.549		-1.465	-18.79	44.97	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:455	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.649	0.778	-0.854	0.366		-40.51	1.42	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:455	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.653	0.774	-1.099	0.244		-40.51	1.42	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:456	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.655	0.775	-1.343	0.122		-40.52	1.42	-75.5	-86.142	1.96	31.85	30	100
