时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:35:13:944	WTRIGHT(D0:74:13:DA:DA:8C)	0.012	1.002	-0.042	-6.714	-0.916	-27.954	1.09	2.35	-148.78	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:956	WTLEFT(C3:11:EA:D7:53:77)	-0.015	-0.061	1.034	-27.466	0.305	-0.061	-3.94	1.94	-90.88	-80.458	-1.176	8.33	27.6	100
2025-6-24 23:35:13:956	WTLEFT(C3:11:EA:D7:53:77)	-0.018	-0.07	1.038	-29.968	-0.061	-0.183	-4.5	1.94	-90.88	-80.458	-1.176	8.33	27.6	100
2025-6-24 23:35:14:11	WTRIGHT(D0:74:13:DA:DA:8C)	0.019	0.989	-0.007	-7.69	0.427	-29.907	0.96	2.89	-148.74	-54.39	-38.612	81.34	28.3	100
2025-6-24 23:35:14:12	WTRIGHT(D0:74:13:DA:DA:8C)	-0.002	1.006	-0.045	-7.507	-0.183	-32.837	0.82	3.48	-148.69	-54.39	-38.612	81.34	28.3	100
2025-6-24 23:35:14:23	WTLEFT(C3:11:EA:D7:53:77)	-0.019	-0.078	1.039	-31.86	0.183	-0.122	-5.09	1.94	-90.87	-80.458	-1.176	8.33	27.6	100
2025-6-24 23:35:14:23	WTLEFT(C3:11:EA:D7:53:77)	-0.021	-0.088	1.029	-34.912		-0.122	-5.73	1.94	-90.87	-80.458	-1.176	8.33	27.6	100
2025-6-24 23:35:14:33	WTRIGHT(D0:74:13:DA:DA:8C)	-0.017	1.021	-0.042	-8.24	0.488	-33.997	0.68	4.1	-148.65	-54.39	-38.612	81.34	28.3	100
2025-6-24 23:35:14:34	WTRIGHT(D0:74:13:DA:DA:8C)	0.018	0.998	-0.035	-9.094	0.061	-36.377	0.51	4.76	-148.61	-54.39	-38.612	81.34	28.3	100
2025-6-24 23:35:14:43	WTLEFT(C3:11:EA:D7:53:77)	-0.019	-0.107	1	-36.804	-0.183	-0.244	-6.42	1.94	-90.87	-80.458	-1.176	8.33	27.6	100
2025-6-24 23:35:14:43	WTLEFT(C3:11:EA:D7:53:77)	0.006	-0.114	1.029	-38.879	0.183	-0.183	-7.14	1.94	-90.87	-80.458	-1.176	8.33	27.6	100
2025-6-24 23:35:14:66	WTRIGHT(D0:74:13:DA:DA:8C)	-0.048	1.003	-0.029	-9.277	0.305	-38.94	0.35	5.47	-148.56	-54.39	-38.612	81.34	28.3	100
2025-6-24 23:35:14:67	WTRIGHT(D0:74:13:DA:DA:8C)	-0.089	1.004	-0.033	-10.681	1.221	-41.504	0.16	6.22	-148.51	-54.39	-38.612	81.34	28.3	100
2025-6-24 23:35:14:73	WTLEFT(C3:11:EA:D7:53:77)	-0.023	-0.119	1.071	-41.992	1.343		-7.92	1.96	-90.87	-80.458	-1.176	8.33	27.6	100
2025-6-24 23:35:14:73	WTLEFT(C3:11:EA:D7:53:77)	-0.021	-0.141	1.013	-44.739	0.488	-0.244	-8.76	1.97	-90.87	-80.458	-1.176	8.33	27.6	100
2025-6-24 23:35:14:125	WTRIGHT(D0:74:13:DA:DA:8C)	-0.189	0.97	-0.012	-10.193	1.221	-42.297	-0.03	6.99	-148.44	-54.39	-38.612	81.34	28.3	100
